# timestamp_rgb rgb_file timestamp_depth depth_file
1700000000.000000 rgb/1700000000.000000.png 1700000000.000000 depth/1700000000.000000.png
1700000000.033333 rgb/1700000000.033333.png 1700000000.033333 depth/1700000000.033333.png
1700000000.066667 rgb/1700000000.066667.png 1700000000.066667 depth/1700000000.066667.png
1700000000.100000 rgb/1700000000.100000.png 1700000000.100000 depth/1700000000.100000.png
1700000000.133333 rgb/1700000000.133333.png 1700000000.133333 depth/1700000000.133333.png
1700000000.166667 rgb/1700000000.166667.png 1700000000.166667 depth/1700000000.166667.png
1700000000.200000 rgb/1700000000.200000.png 1700000000.200000 depth/1700000000.200000.png
1700000000.233333 rgb/1700000000.233333.png 1700000000.233333 depth/1700000000.233333.png
1700000000.266667 rgb/1700000000.266667.png 1700000000.266667 depth/1700000000.266667.png
1700000000.300000 rgb/1700000000.300000.png 1700000000.300000 depth/1700000000.300000.png
1700000000.333333 rgb/1700000000.333333.png 1700000000.333333 depth/1700000000.333333.png
1700000000.366667 rgb/1700000000.366667.png 1700000000.366667 depth/1700000000.366667.png
1700000000.400000 rgb/1700000000.400000.png 1700000000.400000 depth/1700000000.400000.png
1700000000.433333 rgb/1700000000.433333.png 1700000000.433333 depth/1700000000.433333.png
1700000000.466667 rgb/1700000000.466667.png 1700000000.466667 depth/1700000000.466667.png
1700000000.500000 rgb/1700000000.500000.png 1700000000.500000 depth/1700000000.500000.png
1700000000.533333 rgb/1700000000.533333.png 1700000000.533333 depth/1700000000.533333.png
1700000000.566667 rgb/1700000000.566667.png 1700000000.566667 depth/1700000000.566667.png
1700000000.600000 rgb/1700000000.600000.png 1700000000.600000 depth/1700000000.600000.png
1700000000.633333 rgb/1700000000.633333.png 1700000000.633333 depth/1700000000.633333.png
1700000000.666667 rgb/1700000000.666667.png 1700000000.666667 depth/1700000000.666667.png
1700000000.700000 rgb/1700000000.700000.png 1700000000.700000 depth/1700000000.700000.png
1700000000.733333 rgb/1700000000.733333.png 1700000000.733333 depth/1700000000.733333.png
1700000000.766667 rgb/1700000000.766667.png 1700000000.766667 depth/1700000000.766667.png
1700000000.800000 rgb/1700000000.800000.png 1700000000.800000 depth/1700000000.800000.png
1700000000.833333 rgb/1700000000.833333.png 1700000000.833333 depth/1700000000.833333.png
1700000000.866667 rgb/1700000000.866667.png 1700000000.866667 depth/1700000000.866667.png
1700000000.900000 rgb/1700000000.900000.png 1700000000.900000 depth/1700000000.900000.png
1700000000.933333 rgb/1700000000.933333.png 1700000000.933333 depth/1700000000.933333.png
1700000000.966667 rgb/1700000000.966667.png 1700000000.966667 depth/1700000000.966667.png
1700000001.000000 rgb/1700000001.000000.png 1700000001.000000 depth/1700000001.000000.png
1700000001.033333 rgb/1700000001.033333.png 1700000001.033333 depth/1700000001.033333.png
1700000001.066667 rgb/1700000001.066667.png 1700000001.066667 depth/1700000001.066667.png
1700000001.100000 rgb/1700000001.100000.png 1700000001.100000 depth/1700000001.100000.png
1700000001.133333 rgb/1700000001.133333.png 1700000001.133333 depth/1700000001.133333.png
1700000001.166667 rgb/1700000001.166667.png 1700000001.166667 depth/1700000001.166667.png
1700000001.200000 rgb/1700000001.200000.png 1700000001.200000 depth/1700000001.200000.png
1700000001.233333 rgb/1700000001.233333.png 1700000001.233333 depth/1700000001.233333.png
1700000001.266667 rgb/1700000001.266667.png 1700000001.266667 depth/1700000001.266667.png
1700000001.300000 rgb/1700000001.300000.png 1700000001.300000 depth/1700000001.300000.png
1700000001.333333 rgb/1700000001.333333.png 1700000001.333333 depth/1700000001.333333.png
1700000001.366667 rgb/1700000001.366667.png 1700000001.366667 depth/1700000001.366667.png
1700000001.400000 rgb/1700000001.400000.png 1700000001.400000 depth/1700000001.400000.png
1700000001.433333 rgb/1700000001.433333.png 1700000001.433333 depth/1700000001.433333.png
1700000001.466667 rgb/1700000001.466667.png 1700000001.466667 depth/1700000001.466667.png
1700000001.500000 rgb/1700000001.500000.png 1700000001.500000 depth/1700000001.500000.png
1700000001.533333 rgb/1700000001.533333.png 1700000001.533333 depth/1700000001.533333.png
1700000001.566667 rgb/1700000001.566667.png 1700000001.566667 depth/1700000001.566667.png
1700000001.600000 rgb/1700000001.600000.png 1700000001.600000 depth/1700000001.600000.png
1700000001.633333 rgb/1700000001.633333.png 1700000001.633333 depth/1700000001.633333.png
